centreline_id,direction,location,class_type,dt,volume_daily
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-12,1856
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-11,2374
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-10,2645
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-09,2409
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-08,771
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-07,700
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-06,784
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-05,1743
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-04,2023
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-03,2264
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-02,1094
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-01,1204
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-30,1009
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-29,1558
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-28,2223
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-27,2515
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-26,2387
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-25,1274
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-24,2253
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-23,1383
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-22,1496
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-21,2076
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-20,2508
